CUSTOMER COMMENT,Reason
"AFTER HAVING ESCALATED TILL THE LEVEL OF CEO OF KOTAK SECURITIES, I DO NOT SEE ANY RESOLUTION ANYMORE. I AM MOST FRUSTRATED WITH YOUR COMPLETELY INDIFFERENT AND CASUAL ATTITUDE TOWARDS YOUR CUSTOMERS AND THEREFORE, GIVING UP ON KOTAK SECURITIES.SOON I SHALL BE MOVING OUT WITH 3 ACCOUNTS (WITH KOTAK SECURITIES) AND 2 ACCOUNTS (WITH KOTAK BANK). HOPE YOU WILL BE HAPPY.MANY THANKS FOR THE WONDERFUL EXPERIENCE YOU GAVE ME IN THE LAST 14 YEARS, WHICH FORCED ME TAKE THIS DECISION.",SERVICE
Slowly moving to zerodha,NOT SPECIFIED
Useless it is,NOT SPECIFIED
After my three reminders one lady called me from digital after noting down my problems she told I am sorry sir I have not been allocated your account Heena have your account she will call but Heena did not call and u are asking for feedback so dispointing,SERVICE
"Very poor kotak Neo app, always technical problem anytime, mostly during heavy trading hours, then your relationship manager will never pick up our call.Never means never.",APPLICATION (WEB/APP)
My Demat Account Relationship manager (Ms ABHA)  didnt responding since Jan 2023 start my issue is pending she is not replying on email also,APPLICATION (WEB/APP)
Please improve on1)Lack of communication 2)cordination and staff training 3)Personal attention and4)Margins for mutual fund holding and equity holdings together,SERVICE
Verry  poor aap so many glitches in this app not performing well so i m switch this app,APPLICATION (WEB/APP)
This week I booked loss because of network issue on Kotak Neo Aap/web. Kindly improve your service.,SERVICE
All days problem in app,APPLICATION (WEB/APP)
Worst,NOT SPECIFIED
No,NOT SPECIFIED
Fuck you,NOT SPECIFIED
I loos my money due to your apps... Very poor service,SERVICE
"We are not happy with your app .........,........",APPLICATION (WEB/APP)
Disgusting,NOT SPECIFIED
Improve glitch and customer care service due to glitch i have bear losses,SERVICE
Bed service because everyone lose due to many time kotak neo application glitch,SERVICE
Dear sir trading platform should be improve as we have face so many time issue on expiry day or when volatility increases app wont respond and running position not able to square off. Like other trading platform it is not that user friendly. Fixed brokerage plan should be introduced.,APPLICATION (WEB/APP)
Kafi lose ho chuka he technical glitch ki vajah se...nse me complaint kar raha hu main,APPLICATION (WEB/APP)
There is no recommendation and suggestion on stock. No one is attending call. It is sterio recorded answer for any issue without listening query.,SERVICE
No on receiving call,SERVICE
Very bas app ...always technical issue loss of thousand of rupees per day,APPLICATION (WEB/APP)
nothing bad than kotak securties sarvices,SERVICE
Error sometime,APPLICATION (WEB/APP)
"Brokerage charge is very high , I don’t want any trading advice , only I buy and sell for investment purpose I only decide which stock to buy and sell , I told many times , concerned Personel manager is not listening to me",CHARGES(BRO./DP/LPC ETC.)
Useless app from Useless network.,APPLICATION (WEB/APP)
From last 2 week facing problem at morning trading session plz resolved,APPLICATION (WEB/APP)
Improve your app.People are investing their hard earned money and your app spoils everything,APPLICATION (WEB/APP)
Too much glitch in app can you fix it or not,APPLICATION (WEB/APP)
just because of your app I made huge looses. fuck kotakapp neo,APPLICATION (WEB/APP)
Everyday issue in the app & Web. Cant rely on the Kotak.,APPLICATION (WEB/APP)
Plateform not working some time,APPLICATION (WEB/APP)
App freezes every morning at 9:20 am and atleast for 4 to 5 times till 3:30 pm..very risky for option traders..pls work on it..,APPLICATION (WEB/APP)
"Kindly provide a local dealer number,or an executive number on which we can call anytime between market hours.Thankyo",SERVICE
Coudnt place orders...orders executed cant be complete at desired price so much loss because of glitches,APPLICATION (WEB/APP)
Please improve your support,PEOPLE
Last week 3day your aap not working properly,APPLICATION (WEB/APP)
Worst,NOT SPECIFIED
"Only computerised recording,Customer care agents r not understand the problem",SERVICE
Kotak have to ban from india,NOT SPECIFIED
RM never respond in time. Response time must be excellent in current competitiveness.Most of times they do not even respond. Kindly check calls made by me in last one month and the calls made back by RM.I sahll be glad to receive your response in this regard,SERVICE
Does not best time in inquiry and collect information about,SERVICE
So poor service n high trading charge n monthly charges compare others demat account Very very high charges,SERVICE
Bad experience in all the interactions … also I am not able to pledge my shares … called many times but no resolution,SERVICE
"Price doesnt reflect smoothly on its own, we need to refresh the screen to have updated price",APPLICATION (WEB/APP)
I have incurred unnecessary losses due to app issue which I have raised and Kotak associate called and verified all the details which was correct and promised that he would be raising reimbursement of loss amount due to App issues.After that I did not get any call and no follow up. App is still highly unstable. I will be moving soon out of this platform,APPLICATION (WEB/APP)
No,NOT SPECIFIED
Had losses bcs of the glitch,APPLICATION (WEB/APP)
Not at all helpful Not interested in customer concern,SERVICE
Delears are only interested in buisness but they are not interested in providing information related to DP Chsrges or to solve it. I have 5 account and their are 2 or more delears for it. Their should be only 1 delear for my all 5 accounts,SERVICE
Not satisfied very bad platform,APPLICATION (WEB/APP)
Everyday i am getting error while place order,APPLICATION (WEB/APP)
Not happy with the service,SERVICE
"Please make your servers stable and robust in performance, kotak neo app needs more improvements.",APPLICATION (WEB/APP)
Not available when support required,PEOPLE
Don’t pickup call whenever there is a glitchDon’t give estimated time of resolution Call & trade never answers,SERVICE
That too we understand but No on time support disappoint more,PEOPLE
RM does not have knowledge and give anything answers without thorough understanding the facts,SERVICE
Very slow and poor quality of service .Kindly do the needful,SERVICE
Reduce commission,CHARGES(BRO./DP/LPC ETC.)
Worst customer support. They never responded for any calls. They will put calls on hold and will disconnect the call. Totally waste of time with kotak securitiess.,PEOPLE
Neo application is horrible.,APPLICATION (WEB/APP)
Not good service for the same,SERVICE
No,NOT SPECIFIED
No comments,NOT SPECIFIED
Appreciate their customer care service.,SERVICE
Improve server while buying or selling app hang surver down. I loss my more than 60% capital. If you will not fixed issu i delete my account on kotak security/neo,APPLICATION (WEB/APP)
Please improve your app website both. So many glitches. Apps stop working after took position in options. Very very poor experience. Face so many losses just because app stop working coz of glitches.👎,APPLICATION (WEB/APP)
Very bad experience with delar,SERVICE
Brokerage scammers company I have very bad experience with #kotaksecurities Not recommendedBrokerage scammers company I have very bad experience with #kotaksecurities Not recommended Brokerage scammers company I have very bad experience with #kotaksecurities Not recommended,CHARGES(BRO./DP/LPC ETC.)
Sack your hr head for employing lazy people masquerading as rms,SERVICE
After order it will go to position its better to view my order status,APPLICATION (WEB/APP)
Today I didnt received any call and one more thing yesterday told that u will get one new web login link but till now not get the that link. App and web very slow its making us to do loss in share market i am faced lot . There is no option for both target and stop loss like gtt order in zerodh . Pls improve the server and do the user friendly easily.,SERVICE
til date there is no any input of the contact person whom i have to contact,SERVICE
Didnt solve the problem,SERVICE
"Direct Debit from Kotak Savings A/C to Trading A/C feature should be added. In my case, even via Dealer it is not possible.",APPLICATION (WEB/APP)
Improve tecanical chart and easy to use,APPLICATION (WEB/APP)
"Dealer , RM is not easy to reach. Their mobile no is not available and landline always ends up with no answer and No call back most times.Brokerages for option writing very hig compared to other same grade players in mkt. like ICICI direct , 5p, IIFL wich charge 7-10 Rs per order.",SERVICE
Not sure why i am recieving this feedback as I have not recieved any call.,NOT SPECIFIED
Your representative Mr. Ganesh told me to call cus Serb 18002099191 but they are helpless,SERVICE
Worst services,SERVICE
Service is very puvar .network problem is all time .not like his service . ....................................................................................,SERVICE
Like other brokers your aap doesnot provide any information abot how much fund is used while placing an order till it is executed,APPLICATION (WEB/APP)
"Price lagging,Order is not Exited easily its show technical error or connection failure during square off positions. Order is not place in accurate rate its lagged very much.sometimes in live market application is stopped automatically no price shown no data shown ,running positions is also not showing. Please fix it immediately.",APPLICATION (WEB/APP)
Pay the loss caused by software,APPLICATION (WEB/APP)
i am not satisfied company treding charges.,APPLICATION (WEB/APP)
"The website kotaksecurities.com is tooooo... slow. It gets stuck too often. Due to the poor website respone, sometimes the profit opportunities in Options get missed/ lead to loss..",APPLICATION (WEB/APP)
App is so nice but some time server issue,APPLICATION (WEB/APP)
Every time my dealer change without inform me.,SERVICE
They are polite and soft spoken.,SERVICE
Just Improve your platform,APPLICATION (WEB/APP)
Pnl showing at the left side .It should be fix at the middle of screen .And chart sometimes have improper data and loading problem.,APPLICATION (WEB/APP)
Yes better support for out of I fia clients,PEOPLE
Other charges is very high,CHARGES(BRO./DP/LPC ETC.)
No help provided,SERVICE
Ask first,NOT SPECIFIED
Improve your service,SERVICE
Plz contact me. I lost lot of amount just because of your application malfunction,APPLICATION (WEB/APP)
Poor service by relation ship manager,SERVICE
Amount Rs.100000 paid on Saturday is not reflected in my account.,APPLICATION (WEB/APP)
Ur representative not explain Ur brokerage charges,SERVICE
Option trading levels has been provided please,APPLICATION (WEB/APP)
Very disappointing as a customer fir brokerage charges very high,CHARGES(BRO./DP/LPC ETC.)
overall deterioration of customer service!,SERVICE
"I am recommending 0 because advisors are too slow, interactions, Not good at knowledge History and trade recommendations not relevant",SERVICE
"After writing to reduce charges ,I got call from mumbai from kotak securities after my RM raised a request. But the gentleman was sounding rude during conversation.I have decided to shift my investment in other agency soon.Thanks",CHARGES(BRO./DP/LPC ETC.)
Plz provide properly,SERVICE
Not responding my call Im long time qeri is not resolved Im not very negative thinking in kotek security,SERVICE
Poor app,APPLICATION (WEB/APP)
I like to start my trading so please request yourself  to discard my wife’s RevaThapar account soon,APPLICATION (WEB/APP)
Nio app bad app from kotak iam not happy I am not happy sorry havvy los from kotak nio apo,APPLICATION (WEB/APP)
No position reflects on screen near about 30 minite so I am not squre my position and l am going in losses,APPLICATION (WEB/APP)
Operator dont know things,SERVICE
Error.. While placing and exiting positions.. Which results in loss,APPLICATION (WEB/APP)
I am facing technical issue in buying and selling,APPLICATION (WEB/APP)
Very high brokerage charges,CHARGES(BRO./DP/LPC ETC.)
Good,NOT SPECIFIED
I am getting very bad experience with your tradeing platform,APPLICATION (WEB/APP)
i have losses 15000Rs due to app nlt working some time i cannot able to cancel,APPLICATION (WEB/APP)
"On 11/01/2023I took trade at 9:30Then I pressed SELL order to exit the trade at 9:34 with a profit of 600.but my sale is not executed.App application has stopped. Showed handshake failed, after about 20 minutes it becomes normal.Then I saw that I had lost 4300.My Id : SD08092001",APPLICATION (WEB/APP)
This is the worst app I have ever seen today I trade I buy option the app is crashed my order tym and execution time is totally different and in the time of exit I face many issue for that I get huge loss this is my last trade with kotak in future I will not be no more kotak securities cilent and kotak Mahindra Bank worst experience from a huge company and one suggestion to you atlest hire some expert techinicain please otherwise go out from market,APPLICATION (WEB/APP)
"Solve some technical gliches, often annoying",APPLICATION (WEB/APP)
none,NOT SPECIFIED
Please solve glitch problem in offline time.,APPLICATION (WEB/APP)
Teach them when they call and customer want to ask some queries (she) should not be in hurry to cut the call,SERVICE
Glitch problem order buy and sell,APPLICATION (WEB/APP)
Market open time performance very bad,APPLICATION (WEB/APP)
Kindly improve Neo platform,APPLICATION (WEB/APP)
last 3 days app not working in morning time.. hanging many time,APPLICATION (WEB/APP)
Improve app serviceRefund loss moneyImprove customer care service,SERVICE
Application of mind in solving the specific issues raised is required. Casual / impersonal approach is worrisome.,APPLICATION (WEB/APP)
Neo app is not working properly,APPLICATION (WEB/APP)
Your app is not trustworthy Customer care number is not responding Worst platform,SERVICE
Down app,APPLICATION (WEB/APP)
I want to close my demat account,NOT SPECIFIED
Ask the expert in Chat is seldom helpful.customerservice@kotaksecurities.com is mildly better at resolving queries.Overall charges are too high for MTF and commissions.Short payin information is not shared timely or appropriately.Corporate Action processing of mergers and acquisitions is not processed accurately or timely.,SERVICE
Not sort sell bid before mkt open,APPLICATION (WEB/APP)
"Many technical glitches are there app does not work at 0915 hrs, daily basis. Will not recommend to any one.",APPLICATION (WEB/APP)
"Kindly remove all the glitches or bugs in application,some are provided below.1.sometimes the app get stuck and need to relogin again which is very annoying since timely execution is very important in trading.2.while executing a trade it wont go to previous page or to new page.it will show blank pages which is again makes the trader worry whether the trade is initiated or not.need to reload the page or need to click on position page to check the transaction details.3.high slippage/lag in executing a transaction.for instance,if I buy a trade for rupees 100 and placed a sell in market order (1000rs).i will get only 700 or nearby.imagine  a trader who do in big amount and how much loss he will incur.4.adding details of intrinsic value and extrinsic value of all strikes especially for option trader will help them alot in their trading, where most of them can avoid platforms such as oi pulse and sensibul.I hope you will act fast as your stock.",APPLICATION (WEB/APP)
"Kotak securities is not answering query to the point, they are just dodging the query and unnecessarily wasting my time. I am not at all happy with the service from Kotak Securities.",SERVICE
"It is very difficult to proceed trading with you guys as you have a regular glitch problem in your platform . Like today itself I faced 4 to 5 glitches where prices where not updating and got a note that something went wrong , handshake failed . Thus I wont recommending anyone to go ahead with your services .",SERVICE
To much and hidden chargesIntraday recommendations very poor and not given in time,CHARGES(BRO./DP/LPC ETC.)
application gets down many time. I have huge lost just bcz of you,APPLICATION (WEB/APP)
Very poor app/ plateform. Multiple glitch resulting heavy loss.,APPLICATION (WEB/APP)
"From last three days your app is reason for my losses. I took trade and then it got stuck both on app and laptop, i want to exit and suddnly everthing disappears and then it start again after some time. It is enough to spoil a traders day",APPLICATION (WEB/APP)
bhut hi bura anubhav,NOT SPECIFIED
"The app/web hitched for 3-4 days during the trading hours, the app did not refresh the price and wasnt able to show the portfolio/funds. Also, its UI not as user friendly as Zerodha.",APPLICATION (WEB/APP)
Mainly NEO mobile app does not work properly. Immediate action needed,APPLICATION (WEB/APP)
Improve platform very bad service.,SERVICE
I loss 50 k due to app issue.,APPLICATION (WEB/APP)
"Close NEO app protect customer fund.App is worst, I got losses due to hang app.please close it.",APPLICATION (WEB/APP)
Due to technical glitch in app kotak Neo I lose money and kotak customer care executives never attend any call if you try to contact them,APPLICATION (WEB/APP)
WORST CUSTOMER SERVICE,SERVICE
New neo app is very bad...with lots of glitch facing everyday...hanged a lot,APPLICATION (WEB/APP)
"A few tiems have had good service before and only have to deal with problems for a few days...On 12th January, due to technikal problem, I have incurred a loss of 19000.",SERVICE
Everyday facing issue with order punch.,APPLICATION (WEB/APP)
No interaction with any employee of kotak securities since last couple of months,SERVICE
Please help with customer care number they never pick up in emergency.,SERVICE
"Kotak neo app is pathetic..it has stopped working it freeze in market out with no response from service & become totally dummy..such a useless app you guys have developed..learn from zerodha, iifl & 5paisa apps.",SERVICE
There is no peoper resolution of customer mail and proper fellow up if customer write again mail for his same problem no body bothers why it was not done in time with solid reasonPl Always consider every mails specially if a customer again writing about his same problem and fellow up properly,SERVICE
App always down,APPLICATION (WEB/APP)
Worst experience due to failure of working of APP during trading hours,APPLICATION (WEB/APP)
The service team did not solve my query even after telling them many times.,SERVICE
No any employee was able to retain my call . They are very late to answer our call.. worst experience with customer service,SERVICE
Error like handshake failed and connection failure even network is working is properly,APPLICATION (WEB/APP)
Worst of the worst,NOT SPECIFIED
earlier dealers were committed to customer service and were enthusiastic but now they do not care whether you trade or not. especially true for both my accounts rkku4 and r32r0. in fact r32r0 brokerage paid account has not got a single committed and dedicated dealer for the past one year. the customer service is very poor at kotak securities now in comparison to past.,SERVICE
Worst app for trading,APPLICATION (WEB/APP)
Not expected this kind of call support and app from Mahindra group.,PEOPLE
Listen to customers,SERVICE
Please improve your app and also focus on redressal of issues of the customers.,SERVICE
"While trading with kotak Neo faced many issues like positions are not reflecting, orders are not gone through and also price is not updatingPlease solve all technical issues with kotak Neo platform",APPLICATION (WEB/APP)
Not satisfied with application,APPLICATION (WEB/APP)
No one picks up the call on time.,SERVICE
Please make your app smoother. I am technical glitches daily,APPLICATION (WEB/APP)
We have continually call customer service number but not answering as well as no call back than how we ask our queries also kotak neo app not working properly we have losses bcz of kotak neo app issue everyday,SERVICE
Since last week I faced most of glitches and I booked loss heavy amt due to app not performing well on time,APPLICATION (WEB/APP)
Needs relationship manager,SERVICE
Last 7 days I am facing technical issues to place order. Some time order status not showing it shows unable to connect some time shows order not placed.  some time its shows their is no position Earlier kotak neo functions are very smooth now i am facing technical issues Please resolve the issue,APPLICATION (WEB/APP)
"They have to improve a lot to win customer satisfaction,they always wanted to deduct my money without any information/reason.",SERVICE
"Executive have limited & fruitful solution for customers.  As backhand is not that very much concrete for market capitalisation. Since many players in market they do provide all in one solution @ sos basis..from past 2 months kotak securities interface is worst & getting heated on hanging like other local players in market... giving WhatsApp, email & phone call solutions @ the time of service breakdown...no response from any point of views...just get apologies emails..thats very locally behaviour of big players...when they give system driven options to customer on wide range...but its big failure on all grounds...i hope for maintaining something to be big players do on globalisation presence.. Bingo 👍🙏",SERVICE
"Very poor and bad application.not properly work ,my 70000rs loss in 7days",APPLICATION (WEB/APP)
"Worst app on india....,..........,..............................................   .     .        ..",APPLICATION (WEB/APP)
App is every time hanging,APPLICATION (WEB/APP)
App goes down during trading. Dealer call back was requested but called to only inform that he will call back after checking my query,APPLICATION (WEB/APP)
Extremely poor service,SERVICE
Training on NEO platform,APPLICATION (WEB/APP)
Pl improve,NOT SPECIFIED
While placing trade entry its get delayed entry and some time its not responding while entry and exit swipe up,APPLICATION (WEB/APP)
Every Morning when I start trading the app also show glitches and app stop working,APPLICATION (WEB/APP)
MADARCHOD APPLICATION HE JAB APNA SERVER HI SHI NHI RAKH PATE HO TO KYU APPS BANA DIYA,APPLICATION (WEB/APP)
Very bad experience on kotak neo app always crash not showing price list . When market highly volatile app crash dont show anything.  Even I cant see my trad position.  Very bad.,APPLICATION (WEB/APP)
App is not working well sometimes it work smoothly and sometime very bad got so much losses due toh this,APPLICATION (WEB/APP)
Many time I mail to service.securities@kotak.com....but till date not salve my little issues sorry to say but as service point of you you r not better than private broker.,SERVICE
"Please educate your dealer and update your app to provide the desired information as per different act,",APPLICATION (WEB/APP)
YOU GUYS SUCK YOUR APP IS A TOTAL WASTENEVER USING THIS BUGGEST APP THAT HAS PUT ME IN HUGE DEBTFUCKERS,APPLICATION (WEB/APP)
Please update the experience of KST.,APPLICATION (WEB/APP)
Add Not Running As Per Share Market Going Up and down   Very Slow Or Stuck In Chart Nifty Bank Nifty,APPLICATION (WEB/APP)
He said for new app but don’t know the link or where to download.Neo app is pathetic facing glitches since Nov 2022. Need immediate attention and working,APPLICATION (WEB/APP)
worst brokerage services i have ever seen.,SERVICE
None,NOT SPECIFIED
Digital is not able to provide services but insists to not change to local dealer  caller are not compitent when asked to connect to your senior they cut the phone.,SERVICE
Kotak Neo is not working properly,APPLICATION (WEB/APP)
Your charges is very high,CHARGES(BRO./DP/LPC ETC.)
Still no resolution after 24 hrs passed,SERVICE
"Too worst app,so many trouble, hanging.....",APPLICATION (WEB/APP)
I didn’t really talk to anyone. Maybe you’re referring to agent who had called for a recommendation and which I have outrightly ignored as I feel most of your recommendations and pump and dump types.,SERVICE
"They do acknowledge the feedbacks but as compared to other brokers/dealers, kotak securities is too slow in improving their web platform.",SERVICE
"Useless app, reported multiple time but your management doesnt bothered",APPLICATION (WEB/APP)
Very poor services 😞 service very poor quality bad service provider very poor quality,SERVICE
last few days i am facing problems,NOT SPECIFIED
Worst app because in month 12 times face issue of order place,APPLICATION (WEB/APP)
Resolve the querry pending for more than 5 months.,SERVICE
Team should take customers queries on priority and rather then forwarding to here and there should try to provide solution,SERVICE
"I want someone to call me so that I can elucidate and explain the problem , this is feedback for you",SERVICE
"I think Kotak team is worst, including your CEO. Last Oct-Nov 2022 when trading system/server was down for two to three days at a stretch, your CEO and Your whole team went incommunicado. what a shame.",SERVICE
"I really disappointed by the app and query resolver. Its just unable contact customer service team, no proper contact number and only chat, in chat the same query pre prepared and its very sad to use the app.",SERVICE
